Utility Characteristics,,,,Photovoltaic,,,,,,,,,,,,,,,Wind,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,Total,,,,,,,,,,,,,,
,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,
Data Year,Utility Number,Utility Name,State,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total
2014,1009,City of Austin - (MN),MN,0.010,0.060,.,.,0.070,4,7,.,.,11,3.100,1.100,.,.,4.200,.,0.060,.,.,0.060,.,2,.,.,2,.,12.100,.,.,12.100,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.010,0.120,0.000,0.000,0.130,4,9,0,0,13,3,13,0,0,16
2014,1015,Austin Energy,TX,14.713,5.974,.,.,20.687,"3,574",296,.,.,"3,870",.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,14.713,5.974,0.000,0.000,20.687,"3,574",296,0,0,"3,870",0,0,0,0,0
2014,1050,City of Azusa,CA,0.217,0.014,0.222,.,0.453,116,1,4,.,121,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.217,0.014,0.222,0.000,0.453,116,1,4,0,121,0,0,0,0,0
2014,1062,BARC Electric Coop Inc,VA,0.071,.,.,.,0.071,11,.,.,.,11,3.822,.,.,.,3.822,0.005,.,.,.,0.005,2,.,.,.,2,0.000,.,.,.,0.000,0.000,.,.,.,0.000,0,.,.,.,0,0.000,.,.,.,0.000,0.076,0.000,0.000,0.000,0.076,13,0,0,0,13,4,0,0,0,4
2014,1167,Baltimore Gas & Electric Co,MD,32.210,29.950,.,.,62.160,"5,477",294,.,.,"5,771","1,440.254",316.497,.,.,"1,756.751",0.054,0.010,.,.,0.064,18,3,.,.,21,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,32.264,29.960,0.000,0.000,62.224,"5,495",297,0,0,"5,792","1,440",316,0,0,"1,757"
2014,1175,"Bandera Electric Coop, Inc",TX,0.680,.,.,.,0.680,64,.,.,.,64,.,.,.,.,0.000,0.030,.,.,.,0.030,10,.,.,.,10,.,.,.,.,0.000,0.008,.,.,.,0.008,1,.,.,.,1,.,.,.,.,0.000,0.718,0.000,0.000,0.000,0.718,75,0,0,0,75,0,0,0,0,0
2014,1179,Emera Maine,ME,1.195,0.601,0.026,.,1.822,258,36,1,.,295,.,.,.,.,0.000,0.352,0.164,0.600,.,1.116,95,16,1,.,112,.,.,.,.,0.000,.,0.205,.,.,0.205,.,3,.,.,3,.,.,.,.,0.000,1.547,0.970,0.626,0.000,3.143,353,55,2,0,410,0,0,0,0,0
2014,1181,City of Bangor - (WI),WI,0.015,.,.,.,0.015,3,.,.,.,3,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.015,0.000,0.000,0.000,0.015,3,0,0,0,3,0,0,0,0,0
2014,1192,City of Banning - (CA),CA,0.709,0.251,.,.,0.960,144,7,.,.,151,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.709,0.251,0.000,0.000,0.960,144,7,0,0,151,0,0,0,0,0
2014,1251,Barron Electric Coop,WI,0.138,.,.,.,0.138,9,.,.,.,9,3.162,.,.,.,3.162,0.008,.,.,.,0.008,2,.,.,.,2,0.543,.,.,.,0.543,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.146,0.000,0.000,0.000,0.146,11,0,0,0,11,4,0,0,0,4
