Utility Characteristics,,,,,Photovoltaic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wind,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,All Technologies,,,,,,,,,,,,,,
,,,,,Capacity MW,,,,,,Customers,,,,,Storage Capacity (MW),,,,,Storage Customers,,,,,Virtual Capacity (MW),,,,,Virtual Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,
Year,State,Utility Number,Utility Name,BA Code,Type,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total
2017,AR,15811,"Rich Mountain Elec Coop, Inc",MISO,AC,0.057,.,.,.,0.057,7,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.057,0.000,0.000,0.000,0.057,7,0,0,0,7,0.000,0.000,0.000,0.000,0.000
2017,AR,17184,City of Siloam Springs - (AR),SWPP,DC,0.120,.,.,.,0.120,12,.,.,.,12,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.120,0.000,0.000,0.000,0.120,12,0,0,0,12,0.000,0.000,0.000,0.000,0.000
2017,AR,17671,Southwest Arkansas E C C,MISO,AC,0.067,0.000,0.000,0.000,0.067,11,0,0,0,11,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.067,0.000,0.000,0.000,0.067,11,0,0,0,11,0.000,0.000,0.000,0.000,0.000
2017,AR,17698,Southwestern Electric Power Co,SWPP,AC,0.274,0.460,0.000,0.000,0.734,56,15,0,0,71,0.008,0.000,0.000,0.000,0.008,2,0,0,0,2,0.025,0.165,0.000,0.000,0.190,2,3,0,0,5,125.348,220.968,0.000,0.000,346.316,0.000,0.005,0.000,0.000,0.005,0,2,0,0,2,0.000,0.668,0.000,0.000,0.668,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.299,0.630,0.000,0.000,0.929,58,20,0,0,78,125.348,221.636,0.000,0.000,346.984
2017,AR,20963,Woodruff Electric Coop Corp,MISO,AC,.,0.008,.,.,0.008,.,2,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.003,.,.,.,0.003,1,.,.,.,1,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.003,0.008,0.000,0.000,0.011,1,2,0,0,3,0.000,0.000,0.000,0.000,0.000
2017,AR,99999,Adjustment 2017,MISO,,-0.317,-0.108,.,.,-0.425,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-0.317,-0.108,.,.,-0.425,.,.,.,.,.,.,.,.,.,.
2017,AR,99999,Adjustment 2017,SWPP,,-0.488,-0.010,.,.,-0.498,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-0.488,-0.010,.,.,-0.498,.,.,.,.,.,.,.,.,.,.
2017,AZ,176,Ajo Improvement Co,AZPS,AC,.,0.033,.,.,0.033,.,3,.,.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.000,0.033,0.000,0.000,0.033,0,3,0,0,3,0.000,0.000,0.000,0.000,0.000
2017,AZ,803,Arizona Public Service Co,AZPS,AC,477.960,216.430,.,.,694.390,"73,516","1,301",.,.,"74,817",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.050,0.110,.,.,0.160,25,11,.,.,36,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,478.010,216.540,0.000,0.000,694.550,"73,541","1,312",0,0,"74,853",0.000,0.000,0.000,0.000,0.000
2017,AZ,4071,"Columbus Electric Coop, Inc",PNM,AC,0.022,.,.,.,0.022,7,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,23.689,.,.,.,23.689,0.006,.,.,.,0.006,1,.,.,.,1,4.141,.,.,.,4.141,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.028,0.000,0.000,0.000,0.028,8,0,0,0,8,27.830,0.000,0.000,0.000,27.830
2017,AZ,7456,Graham County Electric Coop Inc,WALC,DC,2.325,0.352,0.000,0.000,2.677,309,37,0,0,346,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,"1,589.716",203.470,0.000,0.000,"1,793.186",0.034,0.000,0.000,0.000,0.034,6,0,0,0,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,2.359,0.352,0.000,0.000,2.711,315,37,0,0,352,"1,589.716",203.470,0.000,0.000,"1,793.186"
2017,AZ,12351,City of Mesa - (AZ),WALC,AC,0.088,0.315,0.000,0.000,0.403,23,21,0,0,44,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.050,0.270,0.000,0.000,0.320,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.088,0.315,0.000,0.000,0.403,23,21,0,0,44,0.050,0.270,0.000,0.000,0.320
2017,AZ,12919,Morenci Water and Electric Co,WALC,AC,.,0.033,.,.,0.033,.,3,.,.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.000,0.033,0.000,0.000,0.033,0,3,0,0,3,0.000,0.000,0.000,0.000,0.000
2017,AZ,13318,"Navopache Electric Coop, Inc",PNM,AC,1.662,0.442,.,.,2.104,226,30,.,.,256,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,602.951",200.171,.,.,"1,803.122",0.006,.,.,.,0.006,5,.,.,.,5,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,1.668,0.442,0.000,0.000,2.110,231,30,0,0,261,"1,602.951",200.171,0.000,0.000,"1,803.122"
2017,AZ,14373,Page Utility Enterprises,WALC,AC,0.018,0.034,.,.,0.052,5,2,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.018,0.034,0.000,0.000,0.052,5,2,0,0,7,0.000,0.000,0.000,0.000,0.000
2017,AZ,15049,Electrical Dist No4 Pinal County,WALC,AC,0.242,0.030,.,.,0.272,41,1,.,.,42,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,260.444,7.920,.,.,268.364,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.242,0.030,0.000,0.000,0.272,41,1,0,0,42,260.444,7.920,0.000,0.000,268.364
