Utility Characteristics,,,,,Reporting Year Incremental Annual Savings,,,,,,,,,,Incremental Life Cycle Savings,,,,,,,,,,Reporting Year Incremental Cost,,,,,,,,,,Incremental Life Cycle Costs,,,,,,,,,,Weighted Average Life,,,,
,,,,,Energy Savings (MWh),,,,,Peak Demand Savings (MW),,,,,Energy Savings (MWh),,,,,Peak Demand Savings (MW),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,(Years),,,,
Data Year,Utility Number,Utility Name,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Website
2024,3755,Cleveland Electric Illum Co,OH,PJM,"4,450","17,477","4,426",0,"26,354",0.6,3.0,0.8,0.0,4.4,"98,082","1,49,288","40,820",0,"2,88,191",0.6,3.0,0.8,0.0,4.4,"2,023","2,011",341,0,"4,375",646,577,229,0,"1,452","2,023","2,011",341,0,"4,375",646,577,229,0,"1,452",22.041,8.542,9.222,0.000,https://dis.puc.state.oh.us/
2024,3757,"Clay Electric Cooperative, Inc - (FL)",FL,SEC,"2,152",0,0,0,"2,152",0.5,0.0,0.0,0.0,0.5,"28,807",0,0,0,"28,807",0.5,0.0,0.0,0.0,0.5,50,0,0,0,50,910,0,0,0,910,50,0,0,0,50,910,0,0,0,910,13.391,0.000,0.000,0.000,
2024,3828,Cloverland Electric Co-op,MI,MISO,"1,289","2,405",.,.,"3,694",0.1,0.4,.,.,0.5,"17,966","29,577",.,.,"47,543",0.1,0.4,.,.,0.5,546,235,.,.,781,277,133,.,.,410,546,235,.,.,781,277,133,.,.,410,13.940,12.300,.,.,
2024,3841,Coast Electric Power Assn - (MS),MS,SOCO,"4,131",25,0,0,"4,156",1.0,0.0,0.0,0.0,1.0,"25,759",381,0,0,"26,140",1.0,0.0,0.0,0.0,1.0,358,7,0,0,365,4,0,0,0,4,358,7,0,0,365,4,0,0,0,4,6.240,15.000,0.000,0.000,
2024,3915,Coldwater Board of Public Util,MI,MISO,176,"5,410",538,.,"6,125",0.0,1.4,0.1,.,1.5,"1,233","54,105","5,382",.,"60,720",0.0,1.4,0.1,.,1.5,4,11,2,.,17,3,6,6,.,14,27,113,18,.,158,20,55,58,.,133,7.000,10.000,10.000,.,
2024,3940,City of College Station - (TX),TX,ERCO,562,511,.,.,"1,073",0.4,0.1,.,.,0.5,"7,305","6,643",.,.,"13,948",0.4,0.1,.,.,0.5,176,14,.,.,190,125,10,.,.,135,176,14,.,.,190,125,10,.,.,135,13.000,13.000,.,.,
2024,3989,City of Colorado Springs - (CO),CO,WACM,765,"2,614",0,0,"3,379",0.1,0.6,0.0,0.0,0.7,"10,505","36,755",0,0,"47,260",0.1,0.7,0.0,0.0,0.8,0,18,0,0,18,151,507,0,0,658,0,18,0,0,18,151,507,0,0,658,13.700,14.100,0.000,0.000,
2024,4003,City of Colton - (CA),CA,CISO,"4,362",166,.,.,"4,528",1.0,7.0,.,.,8.0,"89,955","2,106",.,.,"92,061",1.0,7.0,.,.,8.0,0,0,.,.,0,345,8,.,.,353,0,0,.,.,0,345,8,.,.,353,24.000,13.000,.,.,
2024,4041,"Columbia Rural Elec Assn, Inc",WA,BPAT,88,36,301,.,425,0.0,0.0,0.1,.,0.1,"1,505",428,"3,149",.,"5,082",0.0,0.0,0.1,.,0.1,49,17,114,.,180,.,.,.,.,.,49,17,114,.,180,.,.,.,.,.,17.090,12.000,10.470,.,
2024,4045,City of Columbia - (MO),MO,MISO,831,"5,623",.,.,"6,454",0.3,1.2,.,.,1.5,"17,451","84,345",.,.,"1,01,796",0.3,1.2,.,.,1.5,323,70,.,.,393,150,100,.,.,250,323,70,.,.,393,150,100,.,.,250,21.000,15.000,.,.,www.como.gov
2024,4110,Commonwealth Edison Co,IL,PJM,"22,42,336","9,47,103",.,.,"31,89,439",89.0,141.0,.,.,230.0,"3,50,83,652","1,22,96,385",.,.,"4,73,80,037",89.0,141.0,.,.,230.0,"96,718","1,71,955",.,.,"2,68,673","65,761","61,443",.,.,"1,27,203","96,718","1,71,955",.,.,"2,68,673","65,761","61,443",.,.,"1,27,203",15.690,12.780,.,.,
