GeoFIPS,GeoName,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
51000,Virginia,215419.2,232569.9,250171.3,268608.7,285663.4,294929.1,311093.1,331815.8,357427,376429.4,391595.5,402157.8,409935.3,425490.8,433683.7,445008.5,456911.6,465601.7,485540.9,499032.4,515167.2,537158.3,561701.8,566101.5,616187.9,665624.7,722767.4,761733.8
53000,Washington,193769.5,209222.5,229678.9,237594,237978.2,245629.8,254720.2,267423.9,293402,314190.8,341712.3,352460.7,349945.4,363544.2,377518.8,398358.5,416924.1,439851.2,467590.6,489790.2,527169.4,570337.8,608643.4,617739.1,683367,741002.8,801455.5,856013.6
54000,West Virginia,38781.2,40258.9,41942.2,42620.7,44105.1,45627.4,47230.4,49865.9,53814.3,57204.1,59480.4,62978.7,64040.1,66160.4,69367.6,70303.1,71758.6,73042.6,71713.4,71248.9,75172.4,79794.3,80242.4,77536.5,87178.8,98824.1,101479.9,106475.1
55000,Wisconsin,153536.2,163021.5,172928.5,180883.1,188662.8,195541.5,203814,216370.4,226937.5,237571.9,245837.7,246493,246323.8,256159.5,265444,276253.4,283791.4,296169.9,308304.5,315420,321886.8,335144.3,346906.6,344691,368997.3,403570.3,431913.9,453298.6
56000,Wyoming,14673,14833.2,15685.7,17153.7,18741.7,19160.8,21199,23418.1,27530.2,32692.2,36912.8,42694.6,36282.2,37567.5,39615.1,38679.3,39365.6,40573.9,38624.8,36105.9,37620.3,39614.5,40029.5,36982.7,42410.6,49570.4,51350.1,51498.1
91000,New England,488005.9,513179.3,541624.5,588543.2,607371,620893.9,642839.7,684985.2,717261.3,758944.9,795403.8,810410.6,808962.5,838292.9,855087.6,884565,901423.6,931904,982313.4,1009275.1,1039545.4,1083763.3,1129673.3,1129507.8,1230866.5,1324272.9,1408135.9,1480526.3
92000,Mideast,1625822.8,1697986,1799286.8,1905971.2,1994838,2044263.9,2117700,2236165.3,2355937.7,2476434,2587381.3,2635435.7,2674607.7,2791797.9,2860084.3,2993727.7,3086399.1,3214324.2,3345236.8,3455098.6,3572774.4,3736014.5,3876195.2,3831778.2,4160983.6,4488400.5,4748506.1,5017311.1
93000,Great Lakes,1383822.3,1457458.8,1539507.4,1614031.9,1638598,1695010.2,1759394.9,1852306.5,1936527.7,2006111.6,2076699,2066494.8,2013206.1,2098228.1,2183433.8,2272185.2,2348039.9,2451098.4,2538558.4,2593745.5,2669538.3,2781326.3,2870499.2,2806891.4,3078983,3363657.8,3589545.5,3746528.7
94000,Plains,562637.8,589812.1,616360,656083,673288.4,699597.1,738452.8,788026.2,831003.1,867930.3,915154.2,947288.6,936447.1,974196.7,1020385.4,1070645,1109448.6,1159084.1,1196563.7,1217270.1,1250759.3,1301100,1340848,1337958.6,1475503.8,1624774.2,1726264.9,1798814.8
95000,Southeast,1830328.7,1950036.3,2079803.6,2184421.8,2276728.1,2373091.6,2506652.9,2698495.6,2913203.6,3083770.8,3188454.1,3234078.1,3176181.8,3278580.2,3357321.5,3470051.2,3587499.1,3726579.8,3901056.5,4037867.5,4210089.2,4411751.3,4611953.7,4609594.9,5143616.9,5712825.3,6184158.9,6535336.9
96000,Southwest,875223.8,924988,977377,1054545,1106271.4,1134836.9,1204221.7,1313307.9,1431836,1570658.2,1687400.5,1760096.5,1654004,1746317.9,1867732.3,1965333.5,2078339.4,2168451.1,2163072.2,2169483.3,2286160.7,2464730,2550062.7,2494430.9,2888063.9,3342636,3561801.9,3750634.8
97000,Rocky Mountain,258110.6,278324.1,299198.9,326792.7,338172.1,347931.5,362401.1,386799.8,423474.8,456520,490493.5,510481.5,490321.9,506802.1,528877.4,542933.4,571271.9,602131,621890,641047,681310.1,730567.7,776330.2,781318.5,881711.7,992013.8,1063127.8,1116061.6
98000,Far West,1487052.1,1585134.4,1712681.7,1854647.3,1880381,1945882.8,2052021.8,2181148.4,2350653.6,2512545.3,2647216.6,2714188.1,2626186.8,2710840.2,2815614.7,2941292.9,3084924.5,3240456.4,3434110.9,3576784.8,3797440.5,4026579,4258455.7,4254155.7,4733129.8,5058451.6,5376774,5692577
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend/Footnotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  Last updated: September 26, 2025-- revised statistics for 2020-2024.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
